Source,eType,Target,Time,Weight,SourceLocation,TargetLocation,SourceLatitude,SourceLongitude,TargetLatitude,TargetLongitude
619322,3,590442,96346,17,,,,,,
594308,0,549840,105656,1,,,,,,
524153,3,629769,307922,4,,,,,,
524153,3,461577,449990,1923,,,,,,
619322,3,547205,634562,242,,,,,,
483784,0,631903,975525,1,,,,,,
619322,2,549891,1445076,6663,,,,,,
524153,3,632485,1665011,108,,,,,,
549840,0,619322,1674004,1,,,,,,
619322,6,657173,1987200,8,5,1,22,156,-29,-13
619322,6,657173,1987200,8,5,1,22,156,-29,-13
619322,6,657173,1987200,8,5,1,22,156,-29,-13
619322,6,657173,1987200,8,5,1,22,156,-29,-13
619322,6,657173,1987200,8,5,1,22,156,-29,-13
594308,1,477657,2053209,1,2,4,-24.1761,93.8902,-1.17279,-170.646
524153,2,620947,3116332,821,,,,,,
524153,3,492039,3142346,1,,,,,,
594308,6,616453,3283200,1,2,5,-22,91,22,156
594308,6,616453,3283200,1,2,5,-22,91,22,156
594308,6,616453,3283200,1,2,5,-22,91,22,156
594308,6,616453,3283200,1,2,5,-22,91,22,156
594308,6,616453,3283200,1,2,5,-22,91,22,156
524153,3,483999,3402295,39,,,,,,
524153,3,644754,4504258,72,,,,,,
524153,3,525263,4680024,719,,,,,,
483784,1,619322,4699152,1,0,3,32.2503,-40.4067,-24.2286,-111.129
477657,6,616453,4924800,0,0,5,33,-41,22,156
477657,6,616453,4924800,0,0,5,33,-41,22,156
477657,6,616453,4924800,0,0,5,33,-41,22,156
477657,6,616453,4924800,0,0,5,33,-41,22,156
477657,6,616453,4924800,0,0,5,33,-41,22,156
619322,3,532852,5485356,1927,,,,,,
477657,6,625756,5702400,3,2,3,-22,91,-25,-111
477657,6,625756,5702400,3,2,3,-22,91,-25,-111
477657,6,625756,5702400,3,2,3,-22,91,-25,-111
477657,6,625756,5702400,3,2,3,-22,91,-25,-111
477657,6,625756,5702400,3,2,3,-22,91,-25,-111
524153,3,517649,6308560,165,,,,,,
619322,6,509607,6652800,3,3,4,-25,-111,1,-165
619322,6,509607,6652800,3,3,4,-25,-111,1,-165
619322,6,509607,6652800,3,3,4,-25,-111,1,-165
619322,6,509607,6652800,3,3,4,-25,-111,1,-165
619322,6,509607,6652800,3,3,4,-25,-111,1,-165
524153,3,587437,6748571,85,,,,,,
619322,2,549891,6950206,520,,,,,,
524153,3,623736,7431853,198,,,,,,
631903,2,493358,7577296,427,,,,,,
477657,6,616453,7603200,0,4,5,1,-165,22,156
477657,6,616453,7603200,0,4,5,1,-165,22,156
477657,6,616453,7603200,0,4,5,1,-165,22,156
477657,6,616453,7603200,0,4,5,1,-165,22,156
477657,6,616453,7603200,0,4,5,1,-165,22,156
483784,1,561819,7920737,1,0,1,32.2503,-40.4067,-27.4766,-14.6148
483784,6,561157,7948800,-1,3,0,-25,-111,33,-41
483784,6,561157,7948800,-1,3,0,-25,-111,33,-41
483784,6,561157,7948800,-1,3,0,-25,-111,33,-41
483784,6,561157,7948800,-1,3,0,-25,-111,33,-41
483784,6,561157,7948800,-1,3,0,-25,-111,33,-41
619322,6,509607,8294400,3,3,4,-25,-111,1,-165
619322,6,509607,8294400,3,3,4,-25,-111,1,-165
619322,6,509607,8294400,3,3,4,-25,-111,1,-165
619322,6,509607,8294400,3,3,4,-25,-111,1,-165
619322,6,509607,8294400,3,3,4,-25,-111,1,-165
477657,1,561819,8308267,1,4,1,-1.17279,-170.646,-27.4766,-14.6148
619322,1,530990,8590844,1,3,3,-24.2286,-111.129,-25.0313,-110.738
524153,3,643087,8747572,8,,,,,,
619322,3,569044,9078959,1,,,,,,
524153,3,556592,9287027,11,,,,,,
619322,6,616453,9504000,2,3,5,-25,-111,22,156
619322,6,616453,9504000,2,3,5,-25,-111,22,156
619322,6,616453,9504000,2,3,5,-25,-111,22,156
619322,6,616453,9504000,2,3,5,-25,-111,22,156
619322,6,616453,9504000,2,3,5,-25,-111,22,156
594308,1,631903,9699658,1,2,5,-24.1761,93.8902,25.5535,153.235
594308,6,509607,10713600,1,2,4,-22,91,1,-165
594308,6,509607,10713600,1,2,4,-22,91,1,-165
594308,6,509607,10713600,1,2,4,-22,91,1,-165
594308,6,509607,10713600,1,2,4,-22,91,1,-165
594308,6,509607,10713600,1,2,4,-22,91,1,-165
483784,1,549840,10909120,1,0,5,32.2503,-40.4067,22.5232,151.855
524153,3,585589,12134886,278,,,,,,
619322,3,579218,12199256,155,,,,,,
524153,0,594308,12269175,1,,,,,,
524153,0,530990,12457852,1,,,,,,
573137,1,530990,12960538,1,4,3,0.259451,-165.576,-25.0313,-110.738
524153,3,567281,13406101,934,,,,,,
573137,0,594308,13494250,1,,,,,,
619322,3,624532,13595044,80,,,,,,
631903,2,493358,14192663,1056,,,,,,
561819,2,499177,14353245,1,,,,,,
483784,6,561157,14515200,-1,1,0,-29,-13,33,-41
483784,6,561157,14515200,-1,1,0,-29,-13,33,-41
483784,6,561157,14515200,-1,1,0,-29,-13,33,-41
483784,6,561157,14515200,-1,1,0,-29,-13,33,-41
483784,6,561157,14515200,-1,1,0,-29,-13,33,-41
619322,6,625756,14947200,-1,2,3,-22,91,-25,-111
619322,6,625756,14947200,-1,2,3,-22,91,-25,-111
619322,6,625756,14947200,-1,2,3,-22,91,-25,-111
619322,6,625756,14947200,-1,2,3,-22,91,-25,-111
619322,6,625756,14947200,-1,2,3,-22,91,-25,-111
483784,6,561157,15120000,-1,0,0,33,-41,33,-41
483784,6,561157,15120000,-1,0,0,33,-41,33,-41
483784,6,561157,15120000,-1,0,0,33,-41,33,-41
483784,6,561157,15120000,-1,0,0,33,-41,33,-41
483784,6,561157,15120000,-1,0,0,33,-41,33,-41
477657,6,616453,15120000,1,0,5,33,-41,22,156
477657,6,616453,15120000,1,0,5,33,-41,22,156
477657,6,616453,15120000,1,0,5,33,-41,22,156
477657,6,616453,15120000,1,0,5,33,-41,22,156
477657,6,616453,15120000,1,0,5,33,-41,22,156
524153,3,605235,15507864,1,,,,,,
561819,2,499177,16072818,1,,,,,,
524153,3,641131,17044303,439,,,,,,
477657,6,499467,17107200,5,4,2,1,-165,-22,91
477657,6,499467,17107200,5,4,2,1,-165,-22,91
477657,6,499467,17107200,5,4,2,1,-165,-22,91
477657,6,499467,17107200,5,4,2,1,-165,-22,91
477657,6,499467,17107200,5,4,2,1,-165,-22,91
594308,1,549840,17145053,1,2,5,-24.1761,93.8902,22.5232,151.855
549840,0,477657,17222207,1,,,,,,
477657,1,619322,17631014,1,4,3,-1.17279,-170.646,-24.2286,-111.129
524153,3,654641,17645450,964,,,,,,
619322,2,549891,18864052,33,,,,,,
530990,1,561819,19289575,1,3,1,-25.0313,-110.738,-27.4766,-14.6148
530990,1,561819,19519615,1,3,1,-25.0313,-110.738,-27.4766,-14.6148
524153,3,620076,19883146,877,,,,,,
631903,0,524153,19962775,1,,,,,,
561819,2,499177,20000430,1,,,,,,
631903,0,530990,20238675,1,,,,,,
619322,3,492039,20305242,1,,,,,,
524153,3,652996,20420670,76,,,,,,
619322,0,631903,20434873,1,,,,,,
594308,0,631903,20774327,1,,,,,,
524153,3,558930,20830850,393,,,,,,
561819,3,469675,21090980,99,,,,,,
