Source,eType,Target,Time,Weight,SourceLocation,TargetLocation,SourceLatitude,SourceLongitude,TargetLatitude,TargetLongitude
614761,4,514306,-209742644,0.1,,,,,,
614761,1,542965,1672686,1,1,2,-27.7842,-8.74823,-21.896,89.4
538892,1,572391,1749455,1,2,2,-23.5953,91.3571,-21.1411,91.1427
538892,0,614761,2020424,1,,,,,,
614761,1,500813,2220686,1,1,1,-27.7842,-8.74823,-29.1714,-10.493
500813,0,542965,2274331,1,,,,,,
500813,0,614761,2380177,1,,,,,,
614761,0,542965,2430149,1,,,,,,
500813,1,542965,2476844,1,1,2,-29.1714,-10.493,-21.896,89.4
500813,0,538892,2975300,1,,,,,,
500813,1,614761,3117621,1,1,1,-29.1714,-10.493,-27.7842,-8.74823
614761,1,500813,3346166,1,1,1,-27.7842,-8.74823,-29.1714,-10.493
614761,0,542965,3657899,1,,,,,,
538892,1,500813,3695899,1,2,1,-23.5953,91.3571,-29.1714,-10.493
614761,1,572391,3942418,1,1,2,-27.7842,-8.74823,-21.1411,91.1427
500813,0,572391,4119524,1,,,,,,
500813,1,572391,4270415,1,1,2,-29.1714,-10.493,-21.1411,91.1427
493094,0,572391,4299598,1,,,,,,
536003,0,572391,4571584,1,,,,,,
536003,0,493094,4606382,1,,,,,,
521318,0,572391,4751398,1,,,,,,
536003,0,493094,4751604,1,,,,,,
493094,0,536003,4786310,1,,,,,,
493094,0,521318,4803460,1,,,,,,
521318,0,493094,4879592,1,,,,,,
542649,0,493094,4889936,1,,,,,,
493094,0,572391,5001127,1,,,,,,
536003,0,572391,5047092,1,,,,,,
614761,0,572391,5120855,1,,,,,,
521318,0,572391,5380865,1,,,,,,
572391,0,493094,5415006,1,,,,,,
542649,0,493094,5549295,1,,,,,,
614761,0,538892,5552690,1,,,,,,
614761,1,538892,5568861,1,1,2,-27.7842,-8.74823,-23.5953,91.3571
493094,0,536003,5570859,1,,,,,,
572391,0,493094,5600496,1,,,,,,
536003,0,493094,5657250,1,,,,,,
542649,0,493094,5695888,1,,,,,,
493094,0,572391,5768758,1,,,,,,
500813,0,542965,5776123,1,,,,,,
500813,0,614761,5822309,1,,,,,,
493094,0,536003,5927475,1,,,,,,
521318,0,493094,5939231,1,,,,,,
572391,0,493094,5946490,1,,,,,,
521318,0,572391,5953630,1,,,,,,
536003,0,572391,5997711,1,,,,,,
536003,0,493094,6045248,1,,,,,,
521318,0,572391,6088471,1,,,,,,
493094,0,536003,6099754,1,,,,,,
572391,0,493094,6264092,1,,,,,,
538892,0,500813,6547149,1,,,,,,
493094,0,536003,6551747,1,,,,,,
536003,0,572391,6661462,1,,,,,,
521318,0,493094,6707208,1,,,,,,
