Source,eType,Target,Time,Weight,SourceLocation,TargetLocation,SourceLatitude,SourceLongitude,TargetLatitude,TargetLongitude
636721,2,585417,98586,1398,,,,,,
628320,1,557269,186326,1,4,4,0.224078,-163.624,2.40053,-161.288
546593,1,492850,211842,1,0,3,32.2146,-42.6609,-24.9904,-111.346
536906,0,569329,925206,1,,,,,,
483005,0,655963,1214644,1,,,,,,
601496,0,557269,1233608,1,,,,,,
580798,6,625756,1296000,5,2,3,-22,91,-25,-111
580798,6,625756,1296000,5,2,3,-22,91,-25,-111
580798,6,625756,1296000,5,2,3,-22,91,-25,-111
580798,6,625756,1296000,5,2,3,-22,91,-25,-111
580798,6,625756,1296000,5,2,3,-22,91,-25,-111
492850,6,625756,1641600,-1,5,3,22,156,-25,-111
492850,6,625756,1641600,-1,5,3,22,156,-25,-111
492850,6,625756,1641600,-1,5,3,22,156,-25,-111
492850,6,625756,1641600,-1,5,3,22,156,-25,-111
492850,6,625756,1641600,-1,5,3,22,156,-25,-111
639642,1,639642,1648114,1,5,5,21.5434,154.279,21.5434,154.279
636721,3,461577,1669171,8,,,,,,
636721,3,629826,1775557,230,,,,,,
557269,1,544636,1821416,1,4,3,2.40053,-161.288,-23.8755,-111.541
636721,3,618398,1854984,14,,,,,,
579305,1,544636,1993324,1,0,3,39.8886,-41.778,-23.8755,-111.541
584457,0,639642,2333783,1,,,,,,
636721,2,655265,2776828,724,,,,,,
636721,3,588802,2852810,596,,,,,,
516873,0,483005,2888446,1,,,,,,
492850,0,580798,2983830,1,,,,,,
636721,3,499177,3136351,1,,,,,,
536906,0,584457,3979471,1,,,,,,
569329,1,482012,4426243,1,0,3,28.7426,-41.4508,-24.5756,-110.945
536906,1,492850,4618802,1,5,3,22.429,154.859,-24.9904,-111.346
544636,0,544636,5097789,1,,,,,,
580798,0,482012,5399751,1,,,,,,
546593,0,580798,5802122,1,,,,,,
536906,0,541907,5962332,1,,,,,,
464579,0,611572,6753983,1,,,,,,
584457,0,601496,6765740,1,,,,,,
546593,1,588172,6834265,1,0,4,32.2146,-42.6609,3.00486,-159.23
584457,0,639642,6834450,1,,,,,,
579305,1,639642,6849146,1,0,5,39.8886,-41.778,21.5434,154.279
569329,6,561157,6912000,-1,0,0,33,-41,33,-41
569329,6,561157,6912000,-1,0,0,33,-41,33,-41
569329,6,561157,6912000,-1,0,0,33,-41,33,-41
569329,6,561157,6912000,-1,0,0,33,-41,33,-41
569329,6,561157,6912000,-1,0,0,33,-41,33,-41
636721,0,546593,7373660,1,,,,,,
536906,1,516873,7396962,1,5,2,22.429,154.859,-22.066,93.129
536906,0,585606,8143055,1,,,,,,
579305,0,584457,8577969,1,,,,,,
580798,6,509607,8640000,1,2,4,-22,91,1,-165
580798,6,509607,8640000,1,2,4,-22,91,1,-165
580798,6,509607,8640000,1,2,4,-22,91,1,-165
580798,6,509607,8640000,1,2,4,-22,91,1,-165
580798,6,509607,8640000,1,2,4,-22,91,1,-165
464579,1,580237,8830805,1,0,1,33.7833,-45.4927,-32.7065,-10.3259
482012,6,561157,8985600,3,5,0,22,156,33,-41
482012,6,561157,8985600,3,5,0,22,156,33,-41
482012,6,561157,8985600,3,5,0,22,156,33,-41
482012,6,561157,8985600,3,5,0,22,156,33,-41
482012,6,561157,8985600,3,5,0,22,156,33,-41
566580,0,584457,8989733,1,,,,,,
492850,6,625756,9504000,-1,0,3,33,-41,-25,-111
492850,6,625756,9504000,-1,0,3,33,-41,-25,-111
492850,6,625756,9504000,-1,0,3,33,-41,-25,-111
492850,6,625756,9504000,-1,0,3,33,-41,-25,-111
492850,6,625756,9504000,-1,0,3,33,-41,-25,-111
557269,0,639642,9592069,1,,,,,,
636721,3,482579,9689338,24,,,,,,
657526,1,536906,9720039,1,1,5,-25.7329,-14.9697,22.429,154.859
636721,2,655265,10115448,2,,,,,,
536906,1,579305,10144850,1,5,0,22.429,154.859,39.8886,-41.778
482012,6,509607,10454400,3,3,4,-25,-111,1,-165
482012,6,509607,10454400,3,3,4,-25,-111,1,-165
482012,6,509607,10454400,3,3,4,-25,-111,1,-165
482012,6,509607,10454400,3,3,4,-25,-111,1,-165
482012,6,509607,10454400,3,3,4,-25,-111,1,-165
636721,2,655265,10807225,1312,,,,,,
536906,1,628320,10813210,1,5,4,22.429,154.859,0.224078,-163.624
536906,0,571369,10822678,1,,,,,,
544636,1,557269,10844499,1,3,4,-23.8755,-111.541,2.40053,-161.288
464579,1,579305,10899026,1,0,0,33.7833,-45.4927,39.8886,-41.778
557269,1,544636,11156529,1,4,3,2.40053,-161.288,-23.8755,-111.541
482012,6,625756,11232000,-1,2,3,-22,91,-25,-111
482012,6,625756,11232000,-1,2,3,-22,91,-25,-111
482012,6,625756,11232000,-1,2,3,-22,91,-25,-111
482012,6,625756,11232000,-1,2,3,-22,91,-25,-111
482012,6,625756,11232000,-1,2,3,-22,91,-25,-111
636721,3,638734,11233222,191,,,,,,
464579,0,596726,11410310,1,,,,,,
464579,1,537816,11928506,1,0,3,33.7833,-45.4927,-25.1781,-110.144
544636,1,579305,12131001,1,3,0,-23.8755,-111.541,39.8886,-41.778
